epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,440735,2.19628,1.91418,2.35722,0.7392,0.6221,0.69625,0.48902,1.97982,1.52278,2.1795,0.004753,0.004753,0.004753
161,443342,2.19687,1.91073,2.35355,0.74291,0.62254,0.6958,0.48767,1.97813,1.52405,2.17735,0.00472,0.00472,0.00472
162,445933,2.19804,1.90554,2.35489,0.73943,0.62877,0.69601,0.48748,1.97692,1.52321,2.176,0.004687,0.004687,0.004687
163,448516,2.19179,1.90724,2.36214,0.74083,0.62668,0.69671,0.48845,1.97718,1.522,2.17512,0.004654,0.004654,0.004654
164,451120,2.19714,1.90254,2.36121,0.73754,0.62238,0.69655,0.48769,1.97642,1.52214,2.17385,0.004621,0.004621,0.004621
165,453730,2.19318,1.90424,2.35798,0.73822,0.62428,0.69715,0.48839,1.97673,1.51992,2.17374,0.004588,0.004588,0.004588
166,456339,2.19361,1.90593,2.35676,0.73995,0.62321,0.69628,0.48835,1.97593,1.51762,2.1726,0.004555,0.004555,0.004555
167,458959,2.1909,1.90146,2.3536,0.74581,0.62091,0.69686,0.48876,1.97533,1.5168,2.17224,0.004522,0.004522,0.004522
168,461568,2.18939,1.89472,2.3543,0.73866,0.62526,0.69675,0.48893,1.97613,1.51675,2.17277,0.004489,0.004489,0.004489
169,464184,2.18659,1.89598,2.34544,0.73677,0.62653,0.69529,0.4878,1.97744,1.51479,2.17235,0.004456,0.004456,0.004456
170,466798,2.18612,1.88581,2.34765,0.74478,0.6243,0.69632,0.48833,1.97546,1.51548,2.1705,0.004423,0.004423,0.004423
171,469368,2.1818,1.89068,2.34981,0.7516,0.62003,0.69663,0.48902,1.97394,1.51673,2.16994,0.00439,0.00439,0.00439
172,471897,2.18131,1.88902,2.35335,0.74916,0.62278,0.69666,0.48845,1.9752,1.51593,2.17054,0.004357,0.004357,0.004357
173,474616,2.18224,1.89051,2.35502,0.74822,0.62531,0.6973,0.48887,1.97559,1.51748,2.17183,0.004324,0.004324,0.004324
174,477232,2.17636,1.87916,2.35098,0.74725,0.62279,0.697,0.48907,1.97484,1.51651,2.17203,0.004291,0.004291,0.004291
