epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,152185,1.78418,1.58771,1.6985,0.70199,0.6372,0.69706,0.56069,1.6473,1.42959,1.71212,0.007327,0.007327,0.007327
83,154003,1.77063,1.58394,1.69871,0.70057,0.64456,0.69728,0.5606,1.64555,1.42658,1.71164,0.007294,0.007294,0.007294
84,155816,1.77176,1.56713,1.70208,0.69923,0.64742,0.69608,0.56073,1.64498,1.42586,1.71118,0.007261,0.007261,0.007261
85,157634,1.76108,1.54828,1.69697,0.69743,0.65081,0.69455,0.55893,1.64287,1.42476,1.71027,0.007228,0.007228,0.007228
86,159448,1.76666,1.53631,1.69658,0.71136,0.64033,0.69402,0.55777,1.64163,1.42595,1.71036,0.007195,0.007195,0.007195
87,161253,1.77111,1.5444,1.70203,0.71129,0.6404,0.69582,0.55973,1.64126,1.42376,1.71061,0.007162,0.007162,0.007162
88,163066,1.76607,1.53524,1.69647,0.71713,0.63395,0.69684,0.56036,1.64031,1.42266,1.70999,0.007129,0.007129,0.007129
89,164884,1.74702,1.53118,1.69688,0.70972,0.63934,0.69672,0.56043,1.641,1.42479,1.70991,0.007096,0.007096,0.007096
90,166689,1.74982,1.51306,1.6932,0.71939,0.62611,0.69658,0.55983,1.63943,1.42695,1.7097,0.007063,0.007063,0.007063
91,168503,1.75782,1.54239,1.69636,0.72271,0.62637,0.69706,0.55991,1.63898,1.42781,1.70947,0.00703,0.00703,0.00703
92,170307,1.75943,1.527,1.69082,0.72996,0.62473,0.69877,0.56211,1.63904,1.42675,1.70959,0.006997,0.006997,0.006997
93,172125,1.72833,1.48735,1.69003,0.72771,0.62525,0.69929,0.56295,1.63935,1.42475,1.70933,0.006964,0.006964,0.006964
94,173939,1.73395,1.50808,1.68616,0.74159,0.61767,0.69902,0.56246,1.64049,1.42762,1.70908,0.006931,0.006931,0.006931
95,175752,1.75074,1.50736,1.69504,0.72794,0.62386,0.69909,0.56231,1.63918,1.42721,1.70908,0.006898,0.006898,0.006898
96,177559,1.73848,1.51258,1.68773,0.69562,0.64797,0.69941,0.56162,1.63959,1.42584,1.70895,0.006865,0.006865,0.006865
97,179364,1.72851,1.48919,1.68813,0.69331,0.64897,0.69984,0.56279,1.63888,1.42663,1.7091,0.006832,0.006832,0.006832
98,181172,1.73876,1.49255,1.68451,0.7111,0.63048,0.69963,0.56248,1.63903,1.42716,1.7096,0.006799,0.006799,0.006799
99,182980,1.71904,1.4826,1.69064,0.69497,0.64784,0.70058,0.56346,1.63987,1.42671,1.71,0.006766,0.006766,0.006766
100,184794,1.74471,1.49202,1.68952,0.71348,0.63049,0.6999,0.56203,1.6397,1.42734,1.71007,0.006733,0.006733,0.006733
101,186602,1.72097,1.48575,1.68535,0.6985,0.64473,0.70001,0.56222,1.63939,1.42552,1.71031,0.0067,0.0067,0.0067
102,188417,1.73055,1.47246,1.68882,0.69165,0.64483,0.69902,0.56152,1.63896,1.42472,1.71025,0.006667,0.006667,0.006667
103,190238,1.72553,1.45269,1.69004,0.74092,0.61219,0.69918,0.56122,1.63867,1.4236,1.71038,0.006634,0.006634,0.006634
104,192059,1.7086,1.45983,1.68041,0.68906,0.64924,0.6991,0.56104,1.63844,1.42322,1.71021,0.006601,0.006601,0.006601
105,193866,1.73622,1.47192,1.68583,0.74713,0.61207,0.69833,0.55968,1.63902,1.42404,1.71013,0.006568,0.006568,0.006568
106,195686,1.72261,1.47103,1.68809,0.74933,0.60959,0.69954,0.56093,1.63967,1.42223,1.71006,0.006535,0.006535,0.006535
107,197505,1.7086,1.43656,1.68058,0.72184,0.62144,0.69933,0.56051,1.6397,1.42233,1.71004,0.006502,0.006502,0.006502
108,199317,1.72141,1.4353,1.69005,0.68905,0.65052,0.69818,0.56043,1.63891,1.42238,1.71004,0.006469,0.006469,0.006469
109,201134,1.72344,1.44211,1.68506,0.69124,0.65428,0.69843,0.56097,1.63946,1.42291,1.71003,0.006436,0.006436,0.006436
110,202946,1.69801,1.43942,1.68274,0.68867,0.65261,0.69799,0.55939,1.64101,1.42251,1.71026,0.006403,0.006403,0.006403
111,204757,1.70684,1.4337,1.68035,0.68063,0.66097,0.69803,0.55957,1.64033,1.42283,1.70999,0.00637,0.00637,0.00637
112,206570,1.69783,1.41639,1.68035,0.68468,0.65642,0.69919,0.56055,1.63983,1.42251,1.70996,0.006337,0.006337,0.006337
